Timestamp,1. Gender,2. Age,3. How many people in your family ?,1. What kinds of product do you regularly purchase? (สินค้าประเภทไหนที่คุณซื้อเป็นประจำ?),2. How often do you purchase those grocery products? (คุณซื้อสินค้าบ่อยแค่ไหน?),3. Where do you buying the products? (คุณซื้อสินค้าที่ไหน?),4. Have you ever you any online applications for buying? (คุณเคยซื้อของผ่านแอปพลิเคชั่นออนไลน์เหล่านี้หรือไม่),5. Do you prefer to use the same brand for buying the products? (คุณชอบซื้อสินค้าแบรนด์เดิมมาใช้หรือไม่),6. Which of the following situation is the most relevant to you? (พฤติกรรมใด ตรงกับคุณมากที่สุด?),"7. What is problem you have experienced during shopping grocery? (e.g. forget to buy run out item, too busy to go shopping, take some time to find stuff, etc.) (คุณประสบปัญหาอะไรบ้าง ในการซื้อสินค้าที่ใช้เป็นประจำ?)",8. What do you concern about or expect from online shopping platform? (คุณกังวล หรือ คาดหวังกับการซื้อสินค้าที่ใช้เป็นประจำผ่านทางออนไลน์อะไรบ้าง?),1. How do you feel about Grocery Shopping Application?,2. Do you think our application can fix your problem?,3. Any suggestions or comments?
1/20/2022 20:05:25,Male,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.)",Once per week (1 ครั้ง/สัปดาห์),"Online Platform (Please, answer the next question)","Shopee, Lazada","Yes, I regularly buy the same item with less interest in trying new brand",Buy only item that almost runs out first (ซื้อเฉพาะสิ่งของที่ใกล้หมดก่อน),ไม่รู้ว่าของแท้ไหม,กลัวเป็นของปลอม,4,Yes,-
1/20/2022 20:08:16,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.)",Once in 4-6 months (1 ครั้ง/4-6 เดือน),"Online Platform (Please, answer the next question)","Shopee, Lazada","Yes, I regularly buy the same item with less interest in trying new brand","Buy only item that almost runs out first (ซื้อเฉพาะสิ่งของที่ใกล้หมดก่อน), Just buy 1 item for the particular time (ซื้อสินค้าครั้งละเพียง 1 ชิ้นสำหรับช่วงเวลาหนึ่ง)",Too busy to go shopping,Quality and price,4,Yes,Nothing
1/20/2022 20:08:57,Male,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.), Cleaning products (e.g. fabric softener, laundry detergent, etc.)",Once in 2-3 months (1 ครั้ง/2-3 เดือน),"Online Platform (Please, answer the next question), Onsite Store (e.g. Shopping mall)","Shopee, Lazada, Tops online, Makroclick, Big C online","Yes, I regularly buy the same item with less interest in trying new brand",Buy only item that almost runs out first (ซื้อเฉพาะสิ่งของที่ใกล้หมดก่อน),No money,No same as advertised,3,No,Suggestion is suppose to not require!
1/20/2022 20:09:02,Male,20-25,4-6 people,Technology products,Once per month (1 ครั้ง/เดือน),"Online Platform (Please, answer the next question), Onsite Store (e.g. Shopping mall)",Shopee,"Yes, I regularly buy the same item with less interest in trying new brand",Make a plan to buy many stuff at once (วางแผนซื้อของเข้าบ้านหลากหลายอย่างในครั้งเดียว),สินค้าที่ซื้อประจำหมด,เรื่องจำนวนสินค้า,4,Yes,-
1/20/2022 20:11:31,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.), Milk products",Once in 2-3 months (1 ครั้ง/2-3 เดือน),"Online Platform (Please, answer the next question)","Shopee, Lazada","Yes, I regularly buy the same item with less interest in trying new brand","Make a plan to buy many stuff at once (วางแผนซื้อของเข้าบ้านหลากหลายอย่างในครั้งเดียว), Always stock up more than 1 piece for each item (สต๊อกสินค้าแต่ละชนิดมากกว่า 1 ชิ้นเสมอ)",ราคาไม่เท่าเดิมกับที่เคยซื้อ แม้ว่าจะเป็นร้านเดิมชิ้นเดิมก็ตาม,กลัวส่งของหมดอายุมาให้ และ คาดหวังว่าอยากได้รับของที่ยังใหม่ๆ ไม่เก่าไม่พัง และ กลัวโดนโกง,4,Yes,คิดว่าเป็นแอพที่ดีมาก ชอบฟีเจอร์ที่ 2 มากเลย มีข้อกังวลนิดหน่อยคือกลัวจ่ายลืม แบบลืมว่าจ่ายไปเท่าไหร่แล้วควรจะได้ของเท่าไหร่ หรือถ้าอยากเปลี่ยนของ ประมาณนั้นค่า
1/20/2022 20:16:35,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.)",Once per month (1 ครั้ง/เดือน),"Online Platform (Please, answer the next question), Onsite Store (e.g. Shopping mall)","Shopee, Lazada","Yes, I regularly buy the same item with less interest in trying new brand",Buy only item that almost runs out first (ซื้อเฉพาะสิ่งของที่ใกล้หมดก่อน),สินค้าแพง,กลัวสินค้าของไม่ตรงปก,5,Yes,I think its a good application.
1/20/2022 20:47:28,LGBTQ+,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.)",Once per week (1 ครั้ง/สัปดาห์),"Online Platform (Please, answer the next question), Onsite Store (e.g. Shopping mall)",Shopee,"Yes, I regularly buy the same item with less interest in trying new brand","Make a plan to buy many stuff at once (วางแผนซื้อของเข้าบ้านหลากหลายอย่างในครั้งเดียว), Just buy 1 item for the particular time (ซื้อสินค้าครั้งละเพียง 1 ชิ้นสำหรับช่วงเวลาหนึ่ง)",The products that I usually use ran out of the shop stock,the products are not as good as their preview,4,Yes,-
1/20/2022 21:04:36,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.)",Once in 2-3 months (1 ครั้ง/2-3 เดือน),"Online Platform (Please, answer the next question)",Shopee,"No, I prefer to change brand every time to buy things","Make a plan to buy many stuff at once (วางแผนซื้อของเข้าบ้านหลากหลายอย่างในครั้งเดียว), Always stock up more than 1 piece for each item (สต๊อกสินค้าแต่ละชนิดมากกว่า 1 ชิ้นเสมอ)","บางครั้งใส่กล่องมาเปล่าๆ ไม่ใส่กันกระแทก , ของไม่ครบ","กังวลว่าจะได้ของไม่ครบถ้วน, ได้ของปลอม คาดหวังว่าจะได้ของแถม",5,Yes,-
1/20/2022 21:06:35,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.)",Twice per month (2 ครั้ง/เดือน),"Online Platform (Please, answer the next question)",Shopee,"Yes, I regularly buy the same item with less interest in trying new brand","Make a plan to buy many stuff at once (วางแผนซื้อของเข้าบ้านหลากหลายอย่างในครั้งเดียว), Buy only item that almost runs out first (ซื้อเฉพาะสิ่งของที่ใกล้หมดก่อน)",-,-,5,Yes,"I think track my item feature is interesting, I wanna use it!"
1/20/2022 21:40:10,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.)",Once per week (1 ครั้ง/สัปดาห์),Onsite Store (e.g. Shopping mall),Shopee,"Yes, I regularly buy the same item with less interest in trying new brand",Buy only item that almost runs out first (ซื้อเฉพาะสิ่งของที่ใกล้หมดก่อน),Because I always buying the same brands i have a problem finding a new brands when it was out of stock,I expect to not receive expired product or broken package during the shipping process,4,Yes,-
1/20/2022 21:44:37,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.), Cleaning products (e.g. fabric softener, laundry detergent, etc.), Technology products",Once in 4-6 months (1 ครั้ง/4-6 เดือน),"Online Platform (Please, answer the next question), Onsite Store (e.g. Shopping mall)","Shopee, Lazada","Yes, I regularly buy the same item with less interest in trying new brand","Make a plan to buy many stuff at once (วางแผนซื้อของเข้าบ้านหลากหลายอย่างในครั้งเดียว), Buy only item that almost runs out first (ซื้อเฉพาะสิ่งของที่ใกล้หมดก่อน), Always stock up more than 1 piece for each item (สต๊อกสินค้าแต่ละชนิดมากกว่า 1 ชิ้นเสมอ)",ของขาดบางครั้ง,หวังว่าควรมีใช้โค้ดส่วนลด หรือสะสมแต้มได้เหมือน onsite,5,Yes,-
1/20/2022 21:58:45,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.)",Twice per month (2 ครั้ง/เดือน),"Online Platform (Please, answer the next question)","Shopee, Lazada","Yes, I regularly buy the same item with less interest in trying new brand",Buy only item that almost runs out first (ซื้อเฉพาะสิ่งของที่ใกล้หมดก่อน),-,คาดหวังโปรโมชั่นลดราคาสินค้า,3,Yes,-
1/20/2022 22:06:03,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.), Technology products",Once per month (1 ครั้ง/เดือน),"Online Platform (Please, answer the next question)","Shopee, Lazada","No, I prefer to change brand every time to buy things",Make a plan to buy many stuff at once (วางแผนซื้อของเข้าบ้านหลากหลายอย่างในครั้งเดียว),I always forget to buy run out item.,promotion,5,Yes,new product suggestion for each month
1/20/2022 22:43:19,Female,20-25,4-6 people,"Personal care products (e.g. Shampoo, skin care, sanitary pad, etc.), Technology products",Once per month (1 ครั้ง/เดือน),"Online Platform (Please, answer the next question), Onsite Store (e.g. Shopping mall)","Shopee, Lazada, Watsons online","Yes, I regularly buy the same item with less interest in trying new brand",Make a plan to buy many stuff at once (วางแผนซื้อของเข้าบ้านหลากหลายอย่างในครั้งเดียว),There are too many items that I want to buy and there will be at least 1 item that I forget to buy it after making payment,"Shipping delivery is one of the factor that I concern because it is a service that has risks which is losing the product, damage to product, and delay shipping. It would be great if shipping delivery has the method for saving our product while shipping.",5,Yes,I have no suggestions or comments
